"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","tearDawn","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","broken","Mon Oct 06 16:23:26 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","tearDawn"
"","0","checkDeleteProject","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","skipped","Mon Oct 06 16:23:26 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Mon Oct 06 16:23:27 UTC 2025","skipped","Mon Oct 06 16:23:27 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"","1","checkOpenPageCreateTestCase","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","skipped","Mon Oct 06 16:23:26 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"","0","Создание нового проекта без названия","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","skipped","Mon Oct 06 16:23:26 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"","0","Проверка входа с пустым паролем","Surefire suite","Mon Oct 06 16:23:27 UTC 2025","skipped","Mon Oct 06 16:23:27 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"","224","Проверка создания нового проекта","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","broken","Mon Oct 06 16:23:26 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","0","checkAuthPositive","Surefire suite","Mon Oct 06 16:23:27 UTC 2025","skipped","Mon Oct 06 16:23:27 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"","1403","checkCreateProject","Surefire suite","Mon Oct 06 16:23:22 UTC 2025","failed","Mon Oct 06 16:23:24 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"","0","test4","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","skipped","Mon Oct 06 16:23:26 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","test4"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Mon Oct 06 16:23:27 UTC 2025","skipped","Mon Oct 06 16:23:27 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"","0","tearDawn","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","broken","Mon Oct 06 16:23:26 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","tearDawn"
"Проверка удаления тест-кейса","0","Проверка удаления тест-кейса","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","skipped","Mon Oct 06 16:23:26 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Проверка сообщения о создании тест-кейса","0","Проверка сообщения о создании тест-кейса","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","skipped","Mon Oct 06 16:23:26 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"Проверка входа с с невалидным логином и паролем","192","Проверка входа с с невалидным логином и паролем","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","broken","Mon Oct 06 16:23:27 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"","0","tearDawn","Surefire suite","Mon Oct 06 16:23:26 UTC 2025","broken","Mon Oct 06 16:23:26 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","tearDawn"
"","1827","Создание теста в действующем проекте","Surefire suite","Mon Oct 06 16:23:24 UTC 2025","broken","Mon Oct 06 16:23:26 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
